step,junction_id,active_vehicles,avg_speed_kmh,avg_waiting_time_s,max_waiting_time_s,queue_length_m,halting_vehicles,previous_queue_m,queue_delta,signal_phase,time_of_day_s,future_queue_5min_m,will_congest_5min,run_id
66.0,J2,28,37.07,1.46,16.0,0.0,0,0.0,0.0,2,66.0,0.0,0,0
66.0,J3,28,37.07,1.46,16.0,22.5,3,15.0,7.5,2,66.0,7.5,0,0
66.0,J1,28,37.07,1.46,16.0,7.5,1,7.5,0.0,2,66.0,0.0,0,0
67.0,J2,28,37.0,1.61,17.0,0.0,0,0.0,0.0,2,67.0,0.0,0,0
67.0,J3,28,37.0,1.61,17.0,22.5,3,15.0,7.5,2,67.0,7.5,0,0
67.0,J1,28,37.0,1.61,17.0,7.5,1,7.5,0.0,2,67.0,0.0,0,0
68.0,J2,28,36.16,1.75,18.0,0.0,0,0.0,0.0,2,68.0,0.0,0,0
68.0,J3,28,36.16,1.75,18.0,22.5,3,15.0,7.5,2,68.0,7.5,0,0
68.0,J1,28,36.16,1.75,18.0,7.5,1,7.5,0.0,2,68.0,0.0,0,0
69.0,J2,28,35.36,1.89,19.0,0.0,0,0.0,0.0,2,69.0,0.0,0,0
69.0,J3,28,35.36,1.89,19.0,22.5,3,22.5,0.0,2,69.0,7.5,0,0
69.0,J1,28,35.36,1.89,19.0,7.5,1,7.5,0.0,2,69.0,0.0,0,0
70.0,J2,28,35.44,2.07,20.0,0.0,0,0.0,0.0,2,70.0,0.0,0,0
70.0,J3,28,35.44,2.07,20.0,22.5,3,22.5,0.0,2,70.0,7.5,0,0
70.0,J1,28,35.44,2.07,20.0,15.0,2,7.5,7.5,2,70.0,0.0,0,0
71.0,J2,29,35.21,2.17,21.0,0.0,0,0.0,0.0,2,71.0,0.0,0,0
71.0,J3,29,35.21,2.17,21.0,22.5,3,22.5,0.0,2,71.0,7.5,0,0
71.0,J1,29,35.21,2.17,21.0,15.0,2,7.5,7.5,2,71.0,0.0,0,0
72.0,J2,29,34.3,2.34,22.0,0.0,0,0.0,0.0,2,72.0,7.5,0,0
72.0,J3,29,34.3,2.34,22.0,22.5,3,22.5,0.0,2,72.0,7.5,0,0
72.0,J1,29,34.3,2.34,22.0,15.0,2,7.5,7.5,2,72.0,0.0,0,0
73.0,J2,30,34.17,2.47,23.0,0.0,0,0.0,0.0,2,73.0,15.0,0,0
73.0,J3,30,34.17,2.47,23.0,30.0,4,22.5,7.5,2,73.0,7.5,0,0
73.0,J1,30,34.17,2.47,23.0,15.0,2,7.5,7.5,2,73.0,0.0,0,0
74.0,J2,30,33.66,2.7,24.0,0.0,0,0.0,0.0,2,74.0,15.0,0,0
74.0,J3,30,33.66,2.7,24.0,30.0,4,22.5,7.5,2,74.0,7.5,0,0
74.0,J1,30,33.66,2.7,24.0,22.5,3,7.5,15.0,2,74.0,0.0,0,0
75.0,J2,30,33.13,2.93,25.0,0.0,0,0.0,0.0,2,75.0,22.5,0,0
75.0,J3,30,33.13,2.93,25.0,30.0,4,22.5,7.5,2,75.0,15.0,0,0
75.0,J1,30,33.13,2.93,25.0,22.5,3,15.0,7.5,2,75.0,0.0,0,0
76.0,J2,30,32.5,3.17,26.0,0.0,0,0.0,0.0,2,76.0,22.5,0,0
76.0,J3,30,32.5,3.17,26.0,30.0,4,22.5,7.5,2,76.0,15.0,0,0
76.0,J1,30,32.5,3.17,26.0,22.5,3,15.0,7.5,2,76.0,0.0,0,0
77.0,J2,30,31.1,3.4,27.0,0.0,0,0.0,0.0,2,77.0,22.5,0,0
77.0,J3,30,31.1,3.4,27.0,30.0,4,22.5,7.5,2,77.0,15.0,0,0
77.0,J1,30,31.1,3.4,27.0,22.5,3,15.0,7.5,2,77.0,0.0,0,0
78.0,J2,33,32.08,3.36,28.0,0.0,0,0.0,0.0,2,78.0,22.5,0,0
78.0,J3,33,32.08,3.36,28.0,45.0,6,30.0,15.0,2,78.0,15.0,0,0
78.0,J1,33,32.08,3.36,28.0,22.5,3,15.0,7.5,2,78.0,7.5,0,0
79.0,J2,34,31.88,3.53,29.0,0.0,0,0.0,0.0,2,79.0,22.5,0,0
79.0,J3,34,31.88,3.53,29.0,45.0,6,30.0,15.0,2,79.0,15.0,0,0
79.0,J1,34,31.88,3.53,29.0,22.5,3,22.5,0.0,2,79.0,7.5,0,0
80.0,J2,34,31.77,3.79,30.0,0.0,0,0.0,0.0,2,80.0,30.0,0,0
80.0,J3,34,31.77,3.79,30.0,45.0,6,30.0,15.0,2,80.0,15.0,0,0
80.0,J1,34,31.77,3.79,30.0,22.5,3,22.5,0.0,2,80.0,7.5,0,0
81.0,J2,34,31.52,4.06,31.0,0.0,0,0.0,0.0,2,81.0,30.0,0,0
81.0,J3,34,31.52,4.06,31.0,45.0,6,30.0,15.0,2,81.0,15.0,0,0
81.0,J1,34,31.52,4.06,31.0,22.5,3,22.5,0.0,2,81.0,7.5,0,0
82.0,J2,34,30.54,4.35,32.0,7.5,1,0.0,7.5,2,82.0,30.0,0,0
82.0,J3,34,30.54,4.35,32.0,45.0,6,30.0,15.0,2,82.0,15.0,0,0
82.0,J1,34,30.54,4.35,32.0,22.5,3,22.5,0.0,2,82.0,7.5,0,0
83.0,J2,35,30.83,4.51,33.0,7.5,1,0.0,7.5,2,83.0,30.0,0,0
83.0,J3,35,30.83,4.51,33.0,45.0,6,45.0,0.0,2,83.0,15.0,0,0
83.0,J1,35,30.83,4.51,33.0,22.5,3,22.5,0.0,2,83.0,15.0,0,0
84.0,J2,35,29.94,4.8,34.0,7.5,1,0.0,7.5,2,84.0,30.0,0,0
84.0,J3,35,29.94,4.8,34.0,45.0,6,45.0,0.0,2,84.0,15.0,0,0
84.0,J1,35,29.94,4.8,34.0,22.5,3,22.5,0.0,2,84.0,15.0,0,0
85.0,J2,33,26.96,5.39,35.0,7.5,1,0.0,7.5,2,85.0,37.5,1,0
